name,year
A Cart on the Snow Covered Road with Saint-Simeon Farm,1865
A Cliff near Dieppe,1896
A Corner of the Apartment,1875
A Field at Gennevilliers,1877
A Haystack,1886
A Meadow,1879
A Meadow at Giverny,1894
A Palm Tree at Bordighera,1884
A Row of Poplars,1891
A Spot on the Banks of the Seine,1881
A Walk in the Estate,1875 - 1880
A Windmill at Zaandam,1871
Agapanathus,1914–1917
Agapanthus,1914–1917
Agapanthus (center panel),1920–1926
Agapanthus (right panel),1920–1926
Alice Hoschede in the Garden,1881
Amsterdam,1874
Amsterdam in the Snow,1874
An Interior after Dinner,1868–1869
An Orchard in Spring,1886
Andre Lauvray,1880
Anglers on the Seine at Poissy,1882
Antibes,1888
Antibes - View of the Salis Gardens,1888
Antibes and the Maritime Alps,1888
Antibes in the Morning,1888
"Antibes Seen from the Cape, Mistral Wind",1888
Antibes Seen from the Salis Gardens,1888
Antibes Seen from the Salis Gardens,1888
Antibes Seen from the Salis Gardens (aka not an artwork !)[clarification needed],1888
"Antibes, Afternoon Effect",1888
Apple Trees in Bloom at Giverny,1900–1901
Apple Trees in Blossom by the Water,1880
Apple Trees near Vetheuil',1878
Apple Trees on the Chantemesle Hill,1878
Argenteuil Basin with a Single Sailboat,1874
Argenteuil Seen from the Small Arm of the Seine,1872
"Argenteuil, Flowers by the Riverbank",1877
"Argenteuil, Late Afternoon",1872
"Argenteuil, Seen from the Small Arm of the Seine",1872
"Argenteuil, the Hospice",1872
Arm of the Seine at Giverny,1897
Arm of the Seine near Giverny,1896
Arm of the Seine near Giverny,1897
Arm of the Seine near Giverny at Sunrise,1897
Arm of the Seine near Giverny in the Fog,1897
Arm of the Seine near Giverny in the Fog,1897
Arm of the Seine near Vetheuil,1878
Arrival at Saint-Lazare Station,1876
"Arrival of the Normandy Train, Gare Saint-Lazare",1877
Asters,1880
At Cap d'Antibes,1888
"At Cap d'Antibes, Mistral Wind",1888
At Les Petit-Dalles,1884
At the Parc Monceau,1878
"At Val Saint-Nicolas near Dieppe, Morning",1897
"At Val Saint-Nicolas, near Dieppe",1897
At Val-Saint-Nicolas near Dieppe in the Morning,1897
Autumn on the Seine at Argenteuil,1873
Banks of the Seine at Jenfosse: Clear Weather,1884
Barge on the Seine at Vertheuil (also known as Vetheuil),1901–1902
"Basket of Graphes, Quinces and Pears",1882–1885
Bathers at La Grenouillere,1869
"Beach and Cliffs at Pourville, Morning Effect",1882
Beach at Etretat,1883
Beach at Etretat,1883
Beach in Juan-les-Pins,1888
Bed of Chrysanthemums,1897
"Belle-Ile, Rain Effect",1886
"Belle-Ile, Rocks at Port-Goulphar",1886
Bend in the River Epte,1888
Bennecourt,1885
Bennecourt,1887
Boat at Low Tide at Fecamp,1881
Boaters at Argenteuil,1874
Boating on the River Epte,1890
Boats at Rouen,1872
Boats in the Port of Honfleur,1866
Boats in the Port of Le Havre,1882–1883
Boats in the Port of London,1871
Boats Lying at Low Tide at Facamp,1881
Boats on the Beach,1883
Boats on the Beach at Etretat,1883
Boats on the Beach at Etretat,1885
"Boats on the Thames, Fog Effect",1901
Boatyard near Honfleur,1864
Bordighera,1884
